Datetime,Energy
2024-01-01 00:00:00,120
2024-01-01 01:00:00,115
2024-01-01 02:00:00,110
2024-01-01 03:00:00,105
2024-01-01 04:00:00,100
2024-01-01 05:00:00,130
2024-01-01 06:00:00,160
2024-01-01 07:00:00,200
2024-01-01 08:00:00,250
2024-01-01 09:00:00,300
2024-01-01 10:00:00,320
2024-01-01 11:00:00,340
2024-01-01 12:00:00,360
2024-01-01 13:00:00,370
2024-01-01 14:00:00,380
2024-01-01 15:00:00,390
2024-01-01 16:00:00,400
2024-01-01 17:00:00,420
2024-01-01 18:00:00,450
2024-01-01 19:00:00,470
2024-01-01 20:00:00,480
2024-01-01 21:00:00,460
2024-01-01 22:00:00,420
2024-01-01 23:00:00,380
